mean,CVE_LOC,CVE_MUN,CVE_ENT,CVEGEO,CVE_AGEB,system:index
0.10809860499843146,0001,002,06,0600200010943,0943,0000000000000000005e
0.10808874152352625,0001,002,06,0600200010958,0958,0000000000000000005f
0.10808783628532559,0001,002,06,0600200010962,0962,00000000000000000060
0.10808613896369934,0001,002,06,0600200011015,1015,00000000000000000061
0.10808613896369934,0001,002,06,060020001102A,102A,00000000000000000062
0.10833468447314183,0001,002,06,0600200011299,1299,00000000000000000063
0.10820522333281195,0001,002,06,0600200011354,1354,00000000000000000064
0.10881439596414566,0001,002,06,0600200011439,1439,00000000000000000065
0.10917094459533214,0001,002,06,0600200011462,1462,00000000000000000066
0.10818898552293107,0001,002,06,0600200010322,0322,00000000000000000067
0.10818642565982871,0001,002,06,0600200010021,0021,00000000000000000068
0.10809254351493512,0001,002,06,0600200010534,0534,00000000000000000069
0.10821681107534528,0001,002,06,060020001077A,077A,0000000000000000006a
0.10813661041988551,0001,002,06,0600200010939,0939,0000000000000000006b
0.10818839073181152,0001,002,06,0600200010981,0981,0000000000000000006c
0.10847556591033936,0001,002,06,0600200011547,1547,0000000000000000006d
0.10820090655359323,0001,002,06,0600200011405,1405,0000000000000000006e
0.1081887928893508,0001,002,06,0600200010341,0341,0000000000000000006f
0.10808613896369934,0001,002,06,0600200011212,1212,00000000000000000070
0.10818838784748666,0001,002,06,0600200010356,0356,00000000000000000071
0.10838964778916037,0001,002,06,060020001141A,141A,00000000000000000072
0.10842422467525792,0001,002,06,0600200010394,0394,00000000000000000073
0.10820637251541335,0001,002,06,0600200011509,1509,00000000000000000074
0.10808613896369934,0001,002,06,0600200011335,1335,00000000000000000075
0.10808613896369934,0001,002,06,0600200011392,1392,00000000000000000076
0.10940971995541314,0001,002,06,0600200011513,1513,00000000000000000077
0.10924674814786749,0001,002,06,0600200011528,1528,00000000000000000078
0.10818839073181152,0001,002,06,0600200011301,1301,00000000000000000079
0.10818839073181152,0001,002,06,0600200011053,1053,0000000000000000007a
0.10818839073181152,0001,002,06,0600200011072,1072,0000000000000000007b
0.10950762033462524,0001,002,06,0600200010731,0731,0000000000000000007c
0.1081533032508806,0001,002,06,0600200010784,0784,0000000000000000007d
0.10827198904462948,0001,002,06,0600200010799,0799,0000000000000000007e
0.10986606701432097,0001,002,06,0600200010638,0638,0000000000000000007f
0.10818839073181152,0001,002,06,060020001166A,166A,00000000000000000080
0.10832525780759855,0001,002,06,0600200011566,1566,00000000000000000081
0.10928963263957538,0001,002,06,0600200011602,1602,00000000000000000082
0.10938734223661996,0001,002,06,0600200011176,1176,00000000000000000083
0.10848717028608437,0001,002,06,0600200011532,1532,00000000000000000084
0.10881439596414566,0001,002,06,0600200011636,1636,00000000000000000085
0.10808613896369934,0001,002,06,0600200011369,1369,00000000000000000086
0.1083726679070022,0001,002,06,0600200011424,1424,00000000000000000087
0.10847259713628464,0001,002,06,0600200011477,1477,00000000000000000088
