nra,nombre,estado,sector,sustancia,cas,contaminante,emision,year,latitud norte,longitud oeste,municipio,localidad
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Cadmio (compuestos),Cd,suelo,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Cianuro inorgánico/orgánico,57-12-5,suelo,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Cromo (compuestos),Cr,suelo,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Mercurio (compuestos),Hg,suelo,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Níquel (compuestos),Ni,suelo,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Plomo (compuestos),Pb,suelo,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),Arsénico,7440-38-2,suelo,0.0,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),Bióxido de nitrógeno,10102-44-0,suelo,0.0,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),"Cromo (polvos respirables, humos o vapores)",7440-47-3,suelo,0.0,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),Formaldehido,50-00-0,suelo,0.0,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),Níquel (compuestos),Ni,suelo,0.00979,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),"Plomo (polvos respirables, humos o vapores)",7439-92-1,suelo,0.0,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
