nra,nombre,estado,sector,sustancia,cas,contaminante,emision,year,latitud norte,longitud oeste,municipio,localidad
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,COMPLEJO TERMOELÉCTRICO MANZANILLO",COLIMA,Generación de energia electrica,Níquel (compuestos),Ni,agua,84.8584483,2018,"19°1'21""","104°19'6""",Manzanillo,MANZANILLO
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,COMPLEJO TERMOELÉCTRICO MANZANILLO",COLIMA,Generación de energia electrica,Plomo (compuestos),Pb,agua,169.7158068,2018,"19°1'21""","104°19'6""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Arsénico (compuestos),As,agua,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Cadmio (compuestos),Cd,agua,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Cianuro inorgánico/orgánico,57-12-5,agua,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Cromo (compuestos),Cr,agua,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Mercurio (compuestos),Hg,agua,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Níquel (compuestos),Ni,agua,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Plomo (compuestos),Pb,agua,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),Arsénico,7440-38-2,agua,0.0,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
